id,name,gender,age,department,hire_date,term_date,status,termination_reason,monthly_salary,performance_rating,satisfaction_score
EMP-0024,الجازي البقمي,أنثى,28,المبيعات,2025-08-16,2026-04-06,منتهي الخدمة,إعادة هيكلة,7395,3,2.7
EMP-0089,يزيد السلمي,ذكر,26,التقنية,2024-07-18,,نشط,,13334,5,4.0
EMP-0020,ماجد الحمدان,ذكر,34,المبيعات,2025-01-09,,نشط,,9768,5,4.0
EMP-0218,العنود الدوسري,أنثى,43,الموارد البشرية,2026-06-16,,نشط,,9495,4,2.8
EMP-0233,نورة الحربي,أنثى,43,الموارد البشرية,2024-04-26,,نشط,,7323,4,2.6
EMP-0156,العنود السلمي,أنثى,43,التسويق,2023-09-28,,نشط,,12382,3,3.6
EMP-0052,ريم العنزي,أنثى,26,المبيعات,2025-06-05,,نشط,,11659,4,4.2
EMP-0203,جواهر العنزي,أنثى,55,خدمة العملاء,2025-10-24,,نشط,,8596,5,3.7
EMP-0207,لمى البقمي,أنثى,43,خدمة العملاء,2025-07-02,,نشط,,7308,2,4.6
EMP-0067,ريم الزهراني,أنثى,29,التقنية,2024-08-27,,نشط,,12571,4,2.9
EMP-0087,رغد القحطاني,أنثى,35,التقنية,2025-07-05,,نشط,,10330,3,2.7
EMP-0188,عمر المطيري,ذكر,38,خدمة العملاء,2024-08-27,2026-08-19,منتهي الخدمة,استقالة - فرصة أفضل,6462,5,3.0
EMP-0198,يزيد الحمدان,ذكر,34,خدمة العملاء,2024-10-02,2025-02-14,منتهي الخدمة,استقالة - أسباب شخصية,8680,4,3.3
EMP-0237,نورة الشمري,أنثى,28,المالية,2025-03-09,,نشط,,10244,3,5.0
EMP-0212,لمى الحربي,أنثى,40,خدمة العملاء,2022-04-14,,نشط,,8539,4,2.9
EMP-0007,فهد السلمي,ذكر,28,المبيعات,2023-04-22,,نشط,,10214,4,3.2
EMP-0065,جواهر الدوسري,أنثى,46,المبيعات,2023-11-23,2026-05-22,منتهي الخدمة,استقالة - أسباب شخصية,7170,4,1.9
